token,subject,word,group,language,cons,stress,vot,cog,sd,skew,kurt
BIL_alondraHinojosa_dama_spanish_1226,alondraH,dama,bilingual,Spanish,d,stressed,-116.56,NA,NA,NA,NA
BIL_alondraHinojosa_damage_english_1066,alondraH,damage,bilingual,English,d,stressed,22.56,2265.865,2561.660,1.805,3.159
BIL_alondraHinojosa_damage_english_1176,alondraH,damage,bilingual,English,d,stressed,23.23,4595.890,3262.137,0.330,-1.010
BIL_alondraHinojosa_damage_english_1264,alondraH,damage,bilingual,English,d,stressed,17.13,1984.458,2870.519,1.768,2.053
BIL_alondraHinojosa_damnation_english_1082,alondraH,damnation,bilingual,English,d,unstressed,20.17,2302.583,2570.283,1.445,1.953
BIL_alondraHinojosa_damnation_english_1108,alondraH,damnation,bilingual,English,d,unstressed,37.69,4039.000,2833.217,0.842,0.045
BIL_alondraHinojosa_damnation_english_1120,alondraH,damnation,bilingual,English,d,unstressed,26.91,2327.170,3023.286,1.339,0.437
BIL_alondraHinojosa_damper_english_1026,alondraH,damper,bilingual,English,d,stressed,31.05,5576.096,3626.644,-0.218,-1.167
BIL_alondraHinojosa_damper_english_1088,alondraH,damper,bilingual,English,d,stressed,29.68,5275.322,3308.715,-0.272,-1.022
BIL_alondraHinojosa_damper_english_1154,alondraH,damper,bilingual,English,d,stressed,19.43,3796.977,3400.249,0.751,-0.568
BIL_alondraHinojosa_damper_english_1242,alondraH,damper,bilingual,English,d,stressed,22.60,1780.781,2154.917,2.276,5.835
BIL_alondraHinojosa_danar_spanish_1090,alondraH,danar,bilingual,Spanish,d,unstressed,11.85,NA,NA,NA,NA
BIL_alondraHinojosa_danar_spanish_1142,alondraH,danar,bilingual,Spanish,d,unstressed,-73.01,NA,NA,NA,NA
BIL_alondraHinojosa_danar_spanish_1222,alondraH,danar,bilingual,Spanish,d,unstressed,-78.77,NA,NA,NA,NA
BIL_alondraHinojosa_dancette_english_1148,alondraH,dancette,bilingual,English,d,unstressed,20.57,3170.527,3121.789,1.142,0.525
BIL_alondraHinojosa_dancette_english_1200,alondraH,dancette,bilingual,English,d,unstressed,21.71,5302.340,2911.276,0.362,-0.746
BIL_alondraHinojosa_dancette_english_1224,alondraH,dancette,bilingual,English,d,unstressed,21.44,2039.128,2632.354,1.693,2.464
BIL_alondraHinojosa_dancing_english_1084,alondraH,dancing,bilingual,English,d,stressed,16.16,3491.899,3568.145,0.834,-0.495
BIL_alondraHinojosa_dancing_english_1100,alondraH,dancing,bilingual,English,d,stressed,22.61,3477.652,2789.545,0.588,-0.237
BIL_alondraHinojosa_dancing_english_1282,alondraH,dancing,bilingual,English,d,stressed,22.17,2690.175,2947.930,1.106,0.282
BIL_alondraHinojosa_danesa_spanish_1164,alondraH,danesa,bilingual,Spanish,d,unstressed,21.56,NA,NA,NA,NA
BIL_alondraHinojosa_danesa_spanish_1258,alondraH,danesa,bilingual,Spanish,d,unstressed,27.08,NA,NA,NA,NA
BIL_alondraHinojosa_danielle_english_1096,alondraH,danielle,bilingual,English,d,unstressed,23.52,1465.592,2030.124,2.675,8.230
BIL_alondraHinojosa_danielle_english_1102,alondraH,danielle,bilingual,English,d,unstressed,20.09,2480.932,2926.862,1.816,2.896
BIL_alondraHinojosa_danielle_english_1250,alondraH,danielle,bilingual,English,d,unstressed,24.54,3714.870,3690.330,0.657,-1.104
BIL_alondraHinojosa_danino_spanish_1064,alondraH,danino,bilingual,Spanish,d,unstressed,12.10,NA,NA,NA,NA
BIL_alondraHinojosa_danino_spanish_1068,alondraH,danino,bilingual,Spanish,d,unstressed,16.01,NA,NA,NA,NA
BIL_alondraHinojosa_danino_spanish_1220,alondraH,danino,bilingual,Spanish,d,unstressed,17.01,NA,NA,NA,NA
BIL_alondraHinojosa_dano_spanish_1158,alondraH,dano,bilingual,Spanish,d,stressed,21.87,NA,NA,NA,NA
BIL_alondraHinojosa_dano_spanish_1192,alondraH,dano,bilingual,Spanish,d,stressed,-93.98,NA,NA,NA,NA
BIL_alondraHinojosa_dano_spanish_1278,alondraH,dano,bilingual,Spanish,d,stressed,-75.80,NA,NA,NA,NA
BIL_alondraHinojosa_danza_spanish_1060,alondraH,danza,bilingual,Spanish,d,stressed,12.17,NA,NA,NA,NA
BIL_alondraHinojosa_danza_spanish_1098,alondraH,danza,bilingual,Spanish,d,stressed,17.80,NA,NA,NA,NA
BIL_alondraHinojosa_danza_spanish_1116,alondraH,danza,bilingual,Spanish,d,stressed,12.45,NA,NA,NA,NA
BIL_alondraHinojosa_danzar_spanish_1022,alondraH,danzar,bilingual,Spanish,d,unstressed,12.29,NA,NA,NA,NA
BIL_alondraHinojosa_danzar_spanish_1170,alondraH,danzar,bilingual,Spanish,d,unstressed,12.25,NA,NA,NA,NA
BIL_alondraHinojosa_danzar_spanish_1234,alondraH,danzar,bilingual,Spanish,d,unstressed,17.65,NA,NA,NA,NA
BIL_alondraHinojosa_dazzle_english_1042,alondraH,dazzle,bilingual,English,d,stressed,23.69,4406.646,3443.413,0.365,-0.711
BIL_alondraHinojosa_dazzle_english_1184,alondraH,dazzle,bilingual,English,d,stressed,17.20,4066.613,2698.328,0.370,-0.288
BIL_alondraHinojosa_dazzle_english_1216,alondraH,dazzle,bilingual,English,d,stressed,20.80,2829.958,3088.408,1.176,0.338
BIL_alondraHinojosa_tabaco_spanish_1080,alondraH,tabaco,bilingual,Spanish,t,unstressed,6.89,1419.064,1496.692,2.560,9.067
BIL_alondraHinojosa_tabaco_spanish_1166,alondraH,tabaco,bilingual,Spanish,t,unstressed,22.47,1114.376,1623.236,4.002,17.665
BIL_alondraHinojosa_tabaco_spanish_1284,alondraH,tabaco,bilingual,Spanish,t,unstressed,14.32,949.946,1231.089,4.059,22.321
BIL_alondraHinojosa_taberna_spanish_1006,alondraH,taberna,bilingual,Spanish,t,unstressed,8.92,1381.860,1308.830,3.326,18.020
BIL_alondraHinojosa_taberna_spanish_1268,alondraH,taberna,bilingual,Spanish,t,unstressed,7.31,1549.584,2111.944,2.142,4.448
BIL_alondraHinojosa_taberna_spanish_1286,alondraH,taberna,bilingual,Spanish,t,unstressed,12.36,1253.306,1256.217,3.085,15.269
BIL_alondraHinojosa_tabla_spanish_1050,alondraH,tabla,bilingual,Spanish,t,stressed,7.53,1694.390,1752.019,2.145,6.345
BIL_alondraHinojosa_tabla_spanish_1118,alondraH,tabla,bilingual,Spanish,t,stressed,7.69,1653.094,1247.122,2.652,15.403
BIL_alondraHinojosa_tabla_spanish_1244,alondraH,tabla,bilingual,Spanish,t,stressed,11.20,664.675,840.244,6.013,51.291
BIL_alondraHinojosa_tabloid_english_1004,alondraH,tabloid,bilingual,English,t,stressed,80.99,NA,NA,NA,NA
BIL_alondraHinojosa_tabloid_english_1092,alondraH,tabloid,bilingual,English,t,stressed,54.16,NA,NA,NA,NA
BIL_alondraHinojosa_tabloid_english_1126,alondraH,tabloid,bilingual,English,t,stressed,44.91,NA,NA,NA,NA
BIL_alondraHinojosa_taboo_english_1054,alondraH,taboo,bilingual,English,t,unstressed,40.31,NA,NA,NA,NA
BIL_alondraHinojosa_taboo_english_1262,alondraH,taboo,bilingual,English,t,unstressed,45.65,NA,NA,NA,NA
BIL_alondraHinojosa_taboo_spanish_1204,alondraH,taboo,bilingual,Spanish,t,unstressed,53.41,3324.516,2400.899,1.198,1.862
BIL_alondraHinojosa_tackle_english_1016,alondraH,tackle,bilingual,English,t,stressed,62.18,NA,NA,NA,NA
BIL_alondraHinojosa_tackle_english_1136,alondraH,tackle,bilingual,English,t,stressed,58.90,NA,NA,NA,NA
BIL_alondraHinojosa_tackle_english_1150,alondraH,tackle,bilingual,English,t,stressed,46.46,NA,NA,NA,NA
BIL_alondraHinojosa_tactics_english_1002,alondraH,tactics,bilingual,English,t,stressed,42.34,NA,NA,NA,NA
BIL_alondraHinojosa_tactics_english_1046,alondraH,tactics,bilingual,English,t,stressed,51.64,NA,NA,NA,NA
BIL_alondraHinojosa_tactics_english_1072,alondraH,tactics,bilingual,English,t,stressed,48.59,NA,NA,NA,NA
BIL_alondraHinojosa_tactil_spanish_1180,alondraH,tactil,bilingual,Spanish,t,stressed,12.13,1883.286,2048.647,2.030,4.599
BIL_alondraHinojosa_tactil_spanish_1182,alondraH,tactil,bilingual,Spanish,t,stressed,17.77,1632.048,2137.430,2.662,7.775
BIL_alondraHinojosa_tactil_spanish_1240,alondraH,tactil,bilingual,Spanish,t,stressed,11.92,1088.234,1327.852,3.105,16.621
BIL_alondraHinojosa_tamano_spanish_1124,alondraH,tamano,bilingual,Spanish,t,unstressed,15.37,1189.979,1421.350,3.312,14.835
BIL_alondraHinojosa_tamano_spanish_1174,alondraH,tamano,bilingual,Spanish,t,unstressed,13.03,1056.836,1055.944,2.733,17.814
BIL_alondraHinojosa_tamano_spanish_1194,alondraH,tamano,bilingual,Spanish,t,unstressed,9.63,1977.277,2037.845,1.969,5.050
BIL_alondraHinojosa_tambien_spanish_1032,alondraH,tambien,bilingual,Spanish,t,unstressed,12.24,1390.141,913.364,1.989,16.424
BIL_alondraHinojosa_tambien_spanish_1146,alondraH,tambien,bilingual,Spanish,t,unstressed,13.48,731.529,964.836,4.649,30.953
BIL_alondraHinojosa_tambien_spanish_1178,alondraH,tambien,bilingual,Spanish,t,unstressed,12.61,773.968,926.777,5.054,36.724
BIL_alondraHinojosa_tambourine_english_1014,alondraH,tambourine,bilingual,English,t,unstressed,58.66,NA,NA,NA,NA
BIL_alondraHinojosa_tambourine_english_1132,alondraH,tambourine,bilingual,English,t,unstressed,34.79,NA,NA,NA,NA
BIL_alondraHinojosa_tambourine_english_1208,alondraH,tambourine,bilingual,English,t,unstressed,43.10,NA,NA,NA,NA
BIL_alondraHinojosa_tampoco_spanish_1034,alondraH,tampoco,bilingual,Spanish,t,unstressed,13.16,1524.079,1970.797,2.520,6.884
BIL_alondraHinojosa_tampoco_spanish_1138,alondraH,tampoco,bilingual,Spanish,t,unstressed,13.96,1457.950,1335.658,2.743,13.013
BIL_alondraHinojosa_tampoco_spanish_1196,alondraH,tampoco,bilingual,Spanish,t,unstressed,13.50,880.380,1126.634,4.085,23.359
BIL_alondraHinojosa_tanker_english_1052,alondraH,tanker,bilingual,English,t,stressed,53.65,NA,NA,NA,NA
BIL_alondraHinojosa_tanker_english_1070,alondraH,tanker,bilingual,English,t,stressed,57.70,NA,NA,NA,NA
BIL_alondraHinojosa_tanker_english_1248,alondraH,tanker,bilingual,English,t,stressed,57.09,NA,NA,NA,NA
BIL_alondraHinojosa_tanque_spanish_1122,alondraH,tanque,bilingual,Spanish,t,stressed,11.37,1066.239,1409.651,3.577,17.890
BIL_alondraHinojosa_tanque_spanish_1130,alondraH,tanque,bilingual,Spanish,t,stressed,10.09,920.707,919.915,2.643,21.448
BIL_alondraHinojosa_tanque_spanish_1210,alondraH,tanque,bilingual,Spanish,t,stressed,9.55,1145.233,1238.443,3.610,21.775
BIL_alondraHinojosa_tanto_spanish_1024,alondraH,tanto,bilingual,Spanish,t,stressed,10.61,992.633,1376.798,2.950,12.302
BIL_alondraHinojosa_tanto_spanish_1134,alondraH,tanto,bilingual,Spanish,t,stressed,12.88,893.908,1144.650,3.283,16.577
BIL_alondraHinojosa_tanto_spanish_1246,alondraH,tanto,bilingual,Spanish,t,stressed,13.37,1835.938,1957.421,2.396,7.538
BIL_alondraHinojosa_tantrum_english_1048,alondraH,tantrum,bilingual,English,t,stressed,43.25,NA,NA,NA,NA
BIL_alondraHinojosa_tantrum_english_1112,alondraH,tantrum,bilingual,English,t,stressed,53.75,NA,NA,NA,NA
BIL_alondraHinojosa_tantrum_english_1172,alondraH,tantrum,bilingual,English,t,stressed,43.99,NA,NA,NA,NA
BIL_alondraHinojosa_tapioca_english_1110,alondraH,tapioca,bilingual,English,t,unstressed,46.04,NA,NA,NA,NA
BIL_alondraHinojosa_tapioca_english_1188,alondraH,tapioca,bilingual,English,t,unstressed,11.57,NA,NA,NA,NA
BIL_alondraHinojosa_tapioca_english_1218,alondraH,tapioca,bilingual,English,t,unstressed,51.67,NA,NA,NA,NA
BIL_alondraHinojosa_tattoo_english_1012,alondraH,tattoo,bilingual,English,t,unstressed,34.37,NA,NA,NA,NA
BIL_alondraHinojosa_tattoo_english_1062,alondraH,tattoo,bilingual,English,t,unstressed,38.13,NA,NA,NA,NA
BIL_alondraHinojosa_tattoo_english_1114,alondraH,tattoo,bilingual,English,t,unstressed,56.17,NA,NA,NA,NA
BIL_alondraHinojosa_tattooing_english_1212,alondraH,tattooing,bilingual,English,t,unstressed,44.04,NA,NA,NA,NA
BIL_alondraHinojosa_tattooing_english_1230,alondraH,tattooing,bilingual,English,t,unstressed,42.90,NA,NA,NA,NA
BIL_alondraHinojosa_tattooing_english_1274,alondraH,tattooing,bilingual,English,t,unstressed,48.33,NA,NA,NA,NA
BIL_alondraHinojosa_taza_spanish_1198,alondraH,taza,bilingual,Spanish,t,stressed,6.11,819.056,1434.542,3.222,13.537
BIL_alondraHinojosa_taza_spanish_1206,alondraH,taza,bilingual,Spanish,t,stressed,11.78,790.531,1000.406,6.191,55.496
BIL_alondraHinojosa_taza_spanish_1260,alondraH,taza,bilingual,Spanish,t,stressed,10.25,929.219,1569.269,3.245,12.786
BIL_ambarLuna_daba_spanish_1126,ambarLun,daba,bilingual,Spanish,d,stressed,-70.74,NA,NA,NA,NA
BIL_ambarLuna_daba_spanish_1132,ambarLun,daba,bilingual,Spanish,d,stressed,-55.51,NA,NA,NA,NA
BIL_ambarLuna_daba_spanish_1280,ambarLun,daba,bilingual,Spanish,d,stressed,-68.50,NA,NA,NA,NA
BIL_ambarLuna_daga_spanish_1138,ambarLun,daga,bilingual,Spanish,d,stressed,22.01,NA,NA,NA,NA
BIL_ambarLuna_daga_spanish_1240,ambarLun,daga,bilingual,Spanish,d,stressed,-39.96,NA,NA,NA,NA
BIL_ambarLuna_daga_spanish_1270,ambarLun,daga,bilingual,Spanish,d,stressed,-55.84,NA,NA,NA,NA
BIL_ambarLuna_dagger_english_1056,ambarLun,dagger,bilingual,English,d,stressed,20.49,4012.573,2072.437,0.041,0.415
BIL_ambarLuna_dagger_english_1210,ambarLun,dagger,bilingual,English,d,stressed,20.97,3166.840,2380.930,0.158,-0.913
BIL_ambarLuna_dagger_english_1274,ambarLun,dagger,bilingual,English,d,stressed,21.67,4285.060,2312.873,0.407,-0.202
BIL_ambarLuna_dakota_english_1026,ambarLun,dakota,bilingual,English,d,unstressed,20.21,3626.700,2093.135,-0.328,0.160
BIL_ambarLuna_dakota_english_1250,ambarLun,dakota,bilingual,English,d,unstressed,15.54,3318.540,1748.313,0.301,0.990
BIL_ambarLuna_dakota_english_1264,ambarLun,dakota,bilingual,English,d,unstressed,19.73,2446.660,1995.401,0.600,0.359
BIL_ambarLuna_daltonian_english_1014,ambarLun,daltonian,bilingual,English,d,unstressed,23.70,3191.130,1993.317,0.166,1.517
BIL_ambarLuna_daltonian_english_1046,ambarLun,daltonian,bilingual,English,d,unstressed,18.97,3608.152,1480.291,-0.530,2.515
BIL_ambarLuna_daltonian_english_1050,ambarLun,daltonian,bilingual,English,d,unstressed,19.22,2536.594,1388.418,0.624,4.497
BIL_ambarLuna_daltonico_spanish_1006,ambarLun,daltonico,bilingual,Spanish,d,unstressed,-38.49,NA,NA,NA,NA
BIL_ambarLuna_daltonico_spanish_1070,ambarLun,daltonico,bilingual,Spanish,d,unstressed,-35.24,NA,NA,NA,NA
BIL_ambarLuna_daltonico_spanish_1232,ambarLun,daltonico,bilingual,Spanish,d,unstressed,-67.53,NA,NA,NA,NA
BIL_ambarLuna_dama_spanish_1092,ambarLun,dama,bilingual,Spanish,d,stressed,-53.02,NA,NA,NA,NA
BIL_ambarLuna_dama_spanish_1238,ambarLun,dama,bilingual,Spanish,d,stressed,-102.85,NA,NA,NA,NA
BIL_ambarLuna_dama_spanish_1258,ambarLun,dama,bilingual,Spanish,d,stressed,-34.87,NA,NA,NA,NA
BIL_ambarLuna_damage_english_1124,ambarLun,damage,bilingual,English,d,stressed,20.96,3340.960,1982.926,0.255,0.583
BIL_ambarLuna_damage_english_1168,ambarLun,damage,bilingual,English,d,stressed,36.65,4235.364,1617.566,0.070,2.299
BIL_ambarLuna_damage_english_1198,ambarLun,damage,bilingual,English,d,stressed,34.51,3639.659,2269.569,0.033,-0.205
BIL_ambarLuna_damnation_english_1156,ambarLun,damnation,bilingual,English,d,unstressed,24.91,2849.794,1997.391,0.251,0.087
BIL_ambarLuna_damnation_english_1248,ambarLun,damnation,bilingual,English,d,unstressed,19.67,3654.603,2191.401,0.271,0.273
BIL_ambarLuna_damnation_english_1254,ambarLun,damnation,bilingual,English,d,unstressed,24.63,3077.205,2494.456,0.633,-0.027
BIL_ambarLuna_damper_english_1042,ambarLun,damper,bilingual,English,d,stressed,26.91,4023.556,1795.353,-0.093,1.762
BIL_ambarLuna_damper_english_1068,ambarLun,damper,bilingual,English,d,stressed,35.45,3821.703,1472.495,-0.170,3.874
BIL_ambarLuna_damper_english_1150,ambarLun,damper,bilingual,English,d,stressed,24.35,4404.483,2150.574,-0.047,0.681
BIL_ambarLuna_danar_spanish_1038,ambarLun,danar,bilingual,Spanish,d,unstressed,19.81,NA,NA,NA,NA
BIL_ambarLuna_danar_spanish_1186,ambarLun,danar,bilingual,Spanish,d,unstressed,13.61,NA,NA,NA,NA
BIL_ambarLuna_danar_spanish_1246,ambarLun,danar,bilingual,Spanish,d,unstressed,-37.46,NA,NA,NA,NA
BIL_ambarLuna_dancette_english_1134,ambarLun,dancette,bilingual,English,d,unstressed,24.76,2035.287,1954.614,0.931,2.121
BIL_ambarLuna_dancette_english_1174,ambarLun,dancette,bilingual,English,d,unstressed,34.06,2154.494,2241.995,1.346,4.435
BIL_ambarLuna_dancette_english_1252,ambarLun,dancette,bilingual,English,d,unstressed,18.24,1762.331,1814.930,1.094,2.920
BIL_ambarLuna_dancing_english_1024,ambarLun,dancing,bilingual,English,d,stressed,24.89,3444.206,2122.844,0.238,0.329
BIL_ambarLuna_dancing_english_1058,ambarLun,dancing,bilingual,English,d,stressed,24.14,3189.366,1924.040,0.259,1.172
BIL_ambarLuna_dancinge_english_1158,ambarLun,dancing,bilingual,English,d,stressed,23.79,3479.975,2158.876,0.290,0.961
BIL_ambarLuna_danesa_spanish_1086,ambarLun,danesa,bilingual,Spanish,d,unstressed,-42.15,NA,NA,NA,NA
BIL_ambarLuna_danesa_spanish_1094,ambarLun,danesa,bilingual,Spanish,d,unstressed,-69.85,NA,NA,NA,NA
BIL_ambarLuna_danesa_spanish_1180,ambarLun,danesa,bilingual,Spanish,d,unstressed,-61.22,NA,NA,NA,NA
BIL_ambarLuna_danielle_english_1002,ambarLun,danielle,bilingual,English,d,unstressed,33.13,4281.553,1888.950,-0.147,1.160
BIL_ambarLuna_danielle_english_1130,ambarLun,danielle,bilingual,English,d,unstressed,-95.77,NA,NA,NA,NA
BIL_ambarLuna_danielle_english_1234,ambarLun,danielle,bilingual,English,d,unstressed,25.47,2512.588,2624.469,0.880,0.471
BIL_ambarLuna_danino_spanish_1018,ambarLun,danino,bilingual,Spanish,d,unstressed,8.25,NA,NA,NA,NA
BIL_ambarLuna_danino_spanish_1102,ambarLun,danino,bilingual,Spanish,d,unstressed,19.05,NA,NA,NA,NA
BIL_ambarLuna_danino_spanish_1214,ambarLun,danino,bilingual,Spanish,d,unstressed,-36.89,NA,NA,NA,NA
BIL_ambarLuna_dano_spanish_1028,ambarLun,dano,bilingual,Spanish,d,stressed,-40.38,NA,NA,NA,NA
BIL_ambarLuna_dano_spanish_1182,ambarLun,dano,bilingual,Spanish,d,stressed,10.64,NA,NA,NA,NA
BIL_ambarLuna_dano_spanish_1194,ambarLun,dano,bilingual,Spanish,d,stressed,-54.98,NA,NA,NA,NA
BIL_ambarLuna_danza_spanish_1106,ambarLun,danza,bilingual,Spanish,d,stressed,-60.52,NA,NA,NA,NA
BIL_ambarLuna_danza_spanish_1224,ambarLun,danza,bilingual,Spanish,d,stressed,17.55,NA,NA,NA,NA
BIL_ambarLuna_danza_spanish_1276,ambarLun,danza,bilingual,Spanish,d,stressed,-71.84,NA,NA,NA,NA
BIL_ambarLuna_danzar_spanish_1110,ambarLun,danzar,bilingual,Spanish,d,unstressed,-57.45,NA,NA,NA,NA
BIL_ambarLuna_danzar_spanish_1120,ambarLun,danzar,bilingual,Spanish,d,unstressed,16.65,NA,NA,NA,NA
BIL_ambarLuna_danzar_spanish_1226,ambarLun,danzar,bilingual,Spanish,d,unstressed,14.19,NA,NA,NA,NA
BIL_ambarLuna_dazzle_english_1062,ambarLun,dazzle,bilingual,English,d,stressed,20.44,1887.404,1781.148,1.098,2.587
BIL_ambarLuna_dazzle_english_1080,ambarLun,dazzle,bilingual,English,d,stressed,22.84,2825.472,2307.652,0.527,-0.351
BIL_ambarLuna_dazzle_english_1256,ambarLun,dazzle,bilingual,English,d,stressed,19.70,1088.170,1692.026,2.325,6.070
BIL_ambarLuna_tabaco_spanish_1118,ambarLun,tabaco,bilingual,Spanish,t,unstressed,18.99,2276.659,1865.622,2.188,6.071
BIL_ambarLuna_tabaco_spanish_1122,ambarLun,tabaco,bilingual,Spanish,t,unstressed,15.29,1711.147,1456.682,1.631,5.274
BIL_ambarLuna_tabaco_spanish_1160,ambarLun,tabaco,bilingual,Spanish,t,unstressed,14.43,2953.796,2426.775,1.152,0.687
BIL_ambarLuna_taberna_spanish_1022,ambarLun,taberna,bilingual,Spanish,t,unstressed,15.58,1415.725,1176.859,2.356,16.005
BIL_ambarLuna_taberna_spanish_1034,ambarLun,taberna,bilingual,Spanish,t,unstressed,21.45,894.013,1530.145,3.690,18.619
BIL_ambarLuna_taberna_spanish_1036,ambarLun,taberna,bilingual,Spanish,t,unstressed,18.17,1770.983,2114.772,2.093,6.589
BIL_ambarLuna_tabla_spanish_1008,ambarLun,tabla,bilingual,Spanish,t,stressed,15.30,1390.823,1193.520,2.226,11.913
BIL_ambarLuna_tabla_spanish_1048,ambarLun,tabla,bilingual,Spanish,t,stressed,22.36,2286.757,1753.651,1.575,4.173
BIL_ambarLuna_tabla_spanish_1140,ambarLun,tabla,bilingual,Spanish,t,stressed,13.17,1641.124,1436.884,2.092,8.311
BIL_ambarLuna_tabloid_english_1004,ambarLun,tabloid,bilingual,English,t,stressed,82.46,NA,NA,NA,NA
BIL_ambarLuna_tabloid_english_1064,ambarLun,tabloid,bilingual,English,t,stressed,80.45,NA,NA,NA,NA
BIL_ambarLuna_tabloid_english_1196,ambarLun,tabloid,bilingual,English,t,stressed,67.73,NA,NA,NA,NA
BIL_ambarLuna_taboo_english_1078,ambarLun,taboo,bilingual,English,t,unstressed,79.79,NA,NA,NA,NA
BIL_ambarLuna_taboo_english_1096,ambarLun,taboo,bilingual,English,t,unstressed,89.48,NA,NA,NA,NA
BIL_ambarLuna_taboo_english_1166,ambarLun,taboo,bilingual,English,t,unstressed,77.82,NA,NA,NA,NA
BIL_ambarLuna_tackle_english_1060,ambarLun,tackle,bilingual,English,t,stressed,68.40,NA,NA,NA,NA
BIL_ambarLuna_tackle_english_1144,ambarLun,tackle,bilingual,English,t,stressed,61.56,NA,NA,NA,NA
BIL_ambarLuna_tackle_english_1162,ambarLun,tackle,bilingual,English,t,stressed,58.82,NA,NA,NA,NA
BIL_ambarLuna_tactics_english_1012,ambarLun,tactics,bilingual,English,t,stressed,72.91,NA,NA,NA,NA
BIL_ambarLuna_tactics_english_1054,ambarLun,tactics,bilingual,English,t,stressed,62.33,NA,NA,NA,NA
BIL_ambarLuna_tactics_english_1100,ambarLun,tactics,bilingual,English,t,stressed,58.96,NA,NA,NA,NA
BIL_ambarLuna_tactil_spanish_1152,ambarLun,tactil,bilingual,Spanish,t,stressed,10.73,1574.894,1534.035,1.614,4.705
BIL_ambarLuna_tactil_spanish_1172,ambarLun,tactil,bilingual,Spanish,t,stressed,9.71,2279.442,1665.645,1.253,4.614
BIL_ambarLuna_tactil_spanish_1230,ambarLun,tactil,bilingual,Spanish,t,stressed,12.84,2002.214,1546.083,2.372,9.278
BIL_ambarLuna_tamano_spanish_1066,ambarLun,tamano,bilingual,Spanish,t,unstressed,17.07,1636.769,1398.272,1.742,9.330
BIL_ambarLuna_tamano_spanish_1116,ambarLun,tamano,bilingual,Spanish,t,unstressed,11.04,1625.014,1314.896,1.470,5.139
BIL_ambarLuna_tamano_spanish_1260,ambarLun,tamano,bilingual,Spanish,t,unstressed,12.56,1732.934,1633.554,1.760,5.286
BIL_ambarLuna_tambien_spanish_1136,ambarLun,tambien,bilingual,Spanish,t,unstressed,15.90,1214.973,1379.760,2.690,13.438
BIL_ambarLuna_tambien_spanish_1204,ambarLun,tambien,bilingual,Spanish,t,unstressed,11.02,2690.614,1900.710,1.347,3.201
BIL_ambarLuna_tambien_spanish_1282,ambarLun,tambien,bilingual,Spanish,t,unstressed,12.25,1775.104,1706.712,1.673,6.212
BIL_ambarLuna_tambourine_english_1084,ambarLun,tambourine,bilingual,English,t,unstressed,92.87,NA,NA,NA,NA
