token	subject	gender	language	session	word	vowel	f0	logf0	f1	logf1	f2	logf2	f3	logf3	fronting1	fronting2	height	group	heightMel	frontingMel
rec_s2_F_P04_oO27	P04	F	Spanish	s2	botas	closed	164	2.2158	596	2.7753	1315	3.1191	2743	3.4382	0.3438	0.3191	0.5595	G2	260.2	267.8
rec_s2_F_P04_oO32	P04	F	Spanish	s2	coma	closed	172	2.2347	585	2.7671	1012	3.0052	2384	3.3773	0.2380	0.3721	0.5324	G2	248.8	175.6
rec_s2_F_P04_oO38	P04	F	Spanish	s2	sola	closed	81	1.9083	642	2.8076	1387	3.1422	2584	3.4122	0.3346	0.2700	0.8993	G2	349.8	267.0
rec_s2_F_P04_oO40	P04	F	Spanish	s2	fobia	closed	81	1.9071	605	2.7820	1117	3.0479	2670	3.4266	0.2659	0.3786	0.8750	G2	332.5	201.8
rec_s2_F_P04_oO41	P04	F	Spanish	s2	copa	closed	175	2.2423	532	2.7263	1018	3.0078	2626	3.4193	0.2815	0.4115	0.4840	G2	220.2	204.0
rec_s2_F_P04_oO45	P04	F	Spanish	s2	sopa	closed	179	2.2517	517	2.7139	1163	3.0657	2726	3.4356	0.3518	0.3698	0.4622	G2	209.5	260.4
rec_s2_F_P04_oO52	P04	F	Spanish	s2	cosa	closed	89	1.9509	555	2.7446	1198	3.0783	2434	3.3863	0.3337	0.3080	0.7936	G2	301.2	252.2
rec_s2_F_P04_oO57	P04	F	Spanish	s2	capota	closed	171	2.2334	570	2.7556	1157	3.0634	2723	3.4350	0.3078	0.3716	0.5223	G2	242.2	231.8
rec_s2_F_P04_oO58	P04	F	Spanish	s2	cosa	closed	165	2.2186	579	2.7626	1188	3.0748	2449	3.3889	0.3121	0.3142	0.5440	G2	251.2	237.3
rec_s2_F_P04_oO6	P04	F	Spanish	s2	toma	closed	86	1.9334	560	2.7486	1187	3.0745	2729	3.4361	0.3259	0.3616	0.8151	G2	306.3	246.3
rec_s2_F_P04_oO65	P04	F	Spanish	s2	copa	closed	166	2.2193	526	2.7213	1090	3.0372	2499	3.3978	0.3159	0.3605	0.5020	G2	224.0	231.8
rec_s2_F_P04_oO68	P04	F	Spanish	s2	fobia	closed	167	2.2240	612	2.7868	1096	3.0399	2651	3.4235	0.2531	0.3836	0.5628	G2	265.6	191.5
rec_s2_F_P04_oO69	P04	F	Spanish	s2	nota	closed	161	2.2075	655	2.8159	1395	3.1447	2956	3.4707	0.3287	0.3260	0.6085	G2	290.2	263.3
rec_s2_F_P04_oO79	P04	F	Spanish	s2	pomo	closed	174	2.2394	460	2.6629	882	2.9457	2394	3.3792	0.2828	0.4335	0.4236	G2	183.1	192.0
rec_s2_F_P04_oO8	P04	F	Spanish	s2	destroza	closed	174	2.2415	610	2.7852	1532	3.1853	2771	3.4426	0.4001	0.2572	0.5438	G2	259.3	321.7
rec_s2_F_P04_oO81	P04	F	Spanish	s2	nota	closed	82	1.9112	549	2.7399	1363	3.1345	2893	3.4614	0.3945	0.3269	0.8287	G2	304.3	304.8
rec_s2_F_P04_oO83	P04	F	Spanish	s2	toma	closed	166	2.2199	600	2.7782	1112	3.0460	2723	3.4350	0.2678	0.3890	0.5583	G2	260.6	202.5
rec_s2_F_P04_oO87	P04	F	Spanish	s2	sola	closed	84	1.9263	657	2.8174	1431	3.1557	2477	3.3939	0.3382	0.2383	0.8911	G2	354.1	272.5
rec_s2_F_P04_oO88	P04	F	Spanish	s2	destroza	closed	181	2.2567	600	2.7785	1311	3.1177	2407	3.3814	0.3392	0.2638	0.5218	G2	249.2	264.7
rec_s2_F_P04_oO94	P04	F	Spanish	s2	capota	closed	80	1.9022	557	2.7455	1151	3.0612	2791	3.4458	0.3157	0.3847	0.8433	G2	310.0	236.3
rec_s2_F_P04_oO95	P04	F	Spanish	s2	botas	closed	165	2.2187	571	2.7564	1179	3.0715	2754	3.4400	0.3152	0.3685	0.5376	G2	247.3	238.3
rec_s2_F_P05_oO101	P05	F	Spanish	s2	sopa	closed	181	2.2584	524	2.7191	1044	3.0185	2590	3.4134	0.2994	0.3948	0.4607	G1	211.6	217.2
rec_s2_F_P05_oO102	P05	F	Spanish	s2	copa	closed	188	2.2733	532	2.7261	847	2.9280	2448	3.3888	0.2020	0.4608	0.4527	G1	210.4	140.5
rec_s2_F_P05_oO104	P05	F	Spanish	s2	sola	closed	175	2.2438	538	2.7306	1177	3.0708	2599	3.4148	0.3402	0.3440	0.4868	G1	223.3	254.1
rec_s2_F_P05_oO105	P05	F	Spanish	s2	capota	closed	175	2.2420	519	2.7154	942	2.9740	2794	3.4462	0.2586	0.4722	0.4734	G1	213.6	183.4
rec_s2_F_P05_oO109	P05	F	Spanish	s2	capota	closed	187	2.2723	547	2.7381	945	2.9755	2745	3.4385	0.2374	0.4630	0.4657	G1	218.8	170.3
rec_s2_F_P05_oO111	P05	F	Spanish	s2	capota	closed	184	2.2658	543	2.7348	1046	3.0194	2885	3.4601	0.2846	0.4407	0.4690	G1	219.0	208.2
rec_s2_F_P05_oO118	P05	F	Spanish	s2	sola	closed	188	2.2732	585	2.7668	1248	3.0962	2537	3.4042	0.3294	0.3080	0.4936	G1	236.7	253.0
rec_s2_F_P05_oO12	P05	F	Spanish	s2	toma	closed	188	2.2731	549	2.7395	896	2.9525	2614	3.4172	0.2130	0.4647	0.4664	G1	219.0	150.9
rec_s2_F_P05_oO121	P05	F	Spanish	s2	copa	closed	188	2.2740	538	2.7306	861	2.9348	2624	3.4189	0.2042	0.4842	0.4566	G1	213.5	143.0
rec_s2_F_P05_oO13	P05	F	Spanish	s2	destroza	closed	190	2.2783	571	2.7564	1181	3.0724	2588	3.4130	0.3160	0.3405	0.4781	G1	228.4	239.0
rec_s2_F_P05_oO134	P05	F	Spanish	s2	pelota	closed	178	2.2501	547	2.7376	1248	3.0962	2810	3.4488	0.3586	0.3526	0.4875	G1	225.5	271.8
rec_s2_F_P05_oO136	P05	F	Spanish	s2	pelota	closed	176	2.2459	551	2.7413	1284	3.1084	2771	3.4426	0.3671	0.3341	0.4954	G1	229.0	280.7
rec_s2_F_P05_oO142	P05	F	Spanish	s2	destroza	closed	193	2.2857	585	2.7670	1152	3.0613	2313	3.3642	0.2943	0.3029	0.4814	G1	233.0	222.8
rec_s2_F_P05_oO145	P05	F	Spanish	s2	copa	closed	181	2.2577	527	2.7218	864	2.9363	2504	3.3986	0.2145	0.4623	0.4641	G1	213.1	149.7
rec_s2_F_P05_oO18	P05	F	Spanish	s2	fobia	closed	194	2.2875	554	2.7437	878	2.9436	2844	3.4539	0.1998	0.5104	0.4562	G1	217.1	141.5
rec_s2_F_P05_oO19	P05	F	Spanish	s2	nota	closed	184	2.2646	681	2.8335	1154	3.0623	2608	3.4163	0.2289	0.3540	0.5689	G1	284.4	178.8
rec_s2_F_P05_oO2	P05	F	Spanish	s2	sola	closed	178	2.2500	572	2.7574	1244	3.0948	2545	3.4056	0.3374	0.3109	0.5074	G1	237.9	258.1
rec_s2_F_P05_oO22	P05	F	Spanish	s2	fobia	closed	211	2.3247	529	2.7232	878	2.9433	2800	3.4471	0.2201	0.5038	0.3986	G1	192.0	154.1
rec_s2_F_P05_oO29	P05	F	Spanish	s2	pelota	closed	177	2.2478	537	2.7296	1239	3.0930	2769	3.4423	0.3634	0.3492	0.4818	G1	221.2	274.0
rec_s2_F_P05_oO34	P05	F	Spanish	s2	sopa	closed	183	2.2618	546	2.7373	1052	3.0219	2706	3.4324	0.2846	0.4105	0.4755	G1	221.3	208.8
rec_s2_F_P05_oO37	P05	F	Spanish	s2	cosa	closed	171	2.2324	500	2.6993	1008	3.0033	2513	3.4002	0.3040	0.3969	0.4670	G1	206.7	217.0
rec_s2_F_P05_oO39	P05	F	Spanish	s2	botas	closed	181	2.2572	533	2.7265	1017	3.0075	2658	3.4246	0.2811	0.4171	0.4693	G1	216.2	203.2
rec_s2_F_P05_oO4	P05	F	Spanish	s2	botas	closed	183	2.2625	552	2.7416	1020	3.0086	2686	3.4291	0.2670	0.4205	0.4791	G1	224.3	194.7
rec_s2_F_P05_oO41	P05	F	Spanish	s2	nota	closed	166	2.2189	644	2.8090	1117	3.0479	2671	3.4267	0.2389	0.3788	0.5901	G1	281.3	183.5
rec_s2_F_P05_oO42	P05	F	Spanish	s2	sopa	closed	189	2.2768	534	2.7278	1023	3.0098	2768	3.4422	0.2820	0.4324	0.4510	G1	210.7	204.8
rec_s2_F_P05_oO45	P05	F	Spanish	s2	toma	closed	241	2.3819	725	2.8602	1073	3.0305	2677	3.4276	0.1703	0.3971	0.4784	G1	262.6	132.7
rec_s2_F_P05_oO50	P05	F	Spanish	s2	pomo	closed	190	2.2796	576	2.7604	907	2.9576	2725	3.4353	0.1972	0.4777	0.4808	G1	230.9	141.7
rec_s2_F_P05_oO51	P05	F	Spanish	s2	pomo	closed	183	2.2635	555	2.7445	788	2.8968	2381	3.3768	0.1523	0.4800	0.4810	G1	225.8	105.2
rec_s2_F_P05_oO52	P05	F	Spanish	s2	coma	closed	180	2.2546	541	2.7336	864	2.9365	2521	3.4015	0.2029	0.4651	0.4790	G1	221.0	142.6
rec_s2_F_P05_oO54	P05	F	Spanish	s2	fobia	closed	190	2.2785	557	2.7456	941	2.9735	2870	3.4579	0.2278	0.4845	0.4671	G1	221.5	163.8
rec_s2_F_P05_oO55	P05	F	Spanish	s2	destroza	closed	188	2.2747	566	2.7529	1231	3.0904	2627	3.4194	0.3375	0.3290	0.4783	G1	227.5	257.1
rec_s2_F_P05_oO62	P05	F	Spanish	s2	sopa	closed	186	2.2699	545	2.7365	1063	3.0267	2567	3.4094	0.2902	0.3827	0.4665	G1	218.5	213.0
rec_s2_F_P05_oO63	P05	F	Spanish	s2	cosa	closed	187	2.2710	549	2.7398	1076	3.0320	2448	3.3888	0.2922	0.3568	0.4687	G1	219.8	215.4
rec_s2_F_P05_oO68	P05	F	Spanish	s2	toma	closed	188	2.2743	653	2.8152	959	2.9820	2581	3.4118	0.1668	0.4297	0.5409	G1	268.7	124.6
rec_s2_F_P05_oO8	P05	F	Spanish	s2	cosa	closed	176	2.2443	516	2.7122	1064	3.0270	2490	3.3963	0.3147	0.3693	0.4679	G1	211.3	228.1
rec_s2_F_P05_oO80	P05	F	Spanish	s2	pomo	closed	176	2.2464	584	2.7664	802	2.9040	2837	3.4529	0.1376	0.5488	0.5200	G1	245.3	96.7
rec_s2_F_P05_oO81	P05	F	Spanish	s2	coma	closed	178	2.2511	554	2.7435	845	2.9267	2573	3.4104	0.1832	0.4837	0.4924	G1	229.0	128.7
rec_s2_F_P05_oO86	P05	F	Spanish	s2	botas	closed	179	2.2518	527	2.7220	1011	3.0046	2687	3.4292	0.2825	0.4246	0.4703	G1	214.6	204.1
rec_s2_F_P05_oO94	P05	F	Spanish	s2	coma	closed	170	2.2297	542	2.7342	895	2.9516	2519	3.4012	0.2174	0.4496	0.5045	G1	229.1	154.1
rec_s2_F_P06_oO100	P06	F	Spanish	s2	coma	closed	107	2.0280	550	2.7401	990	2.9957	3109	3.4926	0.2556	0.4969	0.7122	G2	283.5	185.1
rec_s2_F_P06_oO105	P06	F	Spanish	s2	destroza	closed	219	2.3413	629	2.7985	1369	3.1364	3111	3.4929	0.3379	0.3565	0.4572	G2	235.0	267.9
rec_s2_F_P06_oO113	P06	F	Spanish	s2	nota	closed	207	2.3158	736	2.8669	1421	3.1525	3443	3.5369	0.2856	0.3844	0.5511	G2	291.5	234.9
rec_s2_F_P06_oO114	P06	F	Spanish	s2	copa	closed	96	1.9830	501	2.6995	953	2.9791	3031	3.4816	0.2796	0.5025	0.7165	G2	267.7	196.7
rec_s2_F_P06_oO12	P06	F	Spanish	s2	sopa	closed	192	2.2838	574	2.7590	1178	3.0711	3145	3.4976	0.3122	0.4265	0.4752	G2	228.4	236.5
rec_s2_F_P06_oO120	P06	F	Spanish	s2	sola	closed	107	2.0301	666	2.8238	1264	3.1019	2997	3.4767	0.2781	0.3748	0.7936	G2	338.6	220.0
rec_s2_F_P06_oO121	P06	F	Spanish	s2	fobia	closed	217	2.3368	564	2.7512	1077	3.0321	3167	3.5007	0.2809	0.4685	0.4145	G2	205.3	208.3
rec_s2_F_P06_oO125	P06	F	Spanish	s2	sola	closed	192	2.2827	615	2.7889	1317	3.1196	3024	3.4807	0.3307	0.3611	0.5062	G2	248.1	259.4
rec_s2_F_P06_oO126	P06	F	Spanish	s2	capota	closed	107	2.0284	535	2.7282	964	2.9842	2579	3.4114	0.2560	0.4272	0.6998	G2	275.9	183.2
rec_s2_F_P06_oO129	P06	F	Spanish	s2	pomo	closed	108	2.0343	533	2.7267	1057	3.0242	3232	3.5094	0.2974	0.4852	0.6924	G2	274.1	217.0
rec_s2_F_P06_oO136	P06	F	Spanish	s2	cosa	closed	215	2.3322	623	2.7942	1142	3.0576	2994	3.4762	0.2634	0.4186	0.4620	G2	235.1	201.5
rec_s2_F_P06_oO137	P06	F	Spanish	s2	copa	closed	215	2.3333	530	2.7245	918	2.9629	3165	3.5004	0.2383	0.5375	0.3913	G2	189.7	168.8
rec_s2_F_P06_oO139	P06	F	Spanish	s2	botas	closed	209	2.3211	644	2.8086	1123	3.0504	3330	3.5225	0.2418	0.4721	0.4876	G2	249.2	185.5
rec_s2_F_P06_oO143	P06	F	Spanish	s2	pomo	closed	224	2.3512	552	2.7416	1115	3.0471	3165	3.5004	0.3056	0.4533	0.3904	G2	194.3	227.0
rec_s2_F_P06_oO15	P06	F	Spanish	s2	fobia	closed	197	2.2951	570	2.7559	1160	3.0644	2940	3.4683	0.3084	0.4040	0.4608	G2	222.8	232.7
rec_s2_F_P06_oO2	P06	F	Spanish	s2	toma	closed	191	2.2802	548	2.7385	1158	3.0638	2987	3.4753	0.3253	0.4114	0.4583	G2	216.3	243.0
rec_s2_F_P06_oO23	P06	F	Spanish	s2	coma	closed	200	2.3011	588	2.7692	994	2.9973	1823	3.2608	0.2280	0.2635	0.4682	G2	229.3	167.8
rec_s2_F_P06_oO37	P06	F	Spanish	s2	pomo	closed	211	2.3252	572	2.7577	1049	3.0209	3140	3.4970	0.2632	0.4761	0.4325	G2	213.5	194.8
rec_s2_F_P06_oO38	P06	F	Spanish	s2	nota	closed	108	2.0323	844	2.9262	1427	3.1543	3363	3.5267	0.2281	0.3724	0.8939	G2	412.9	192.2
rec_s2_F_P06_oO42	P06	F	Spanish	s2	botas	closed	220	2.3423	494	2.6934	1102	3.0421	3349	3.5249	0.3486	0.4828	0.3511	G2	167.4	252.4
rec_s2_F_P06_oO43	P06	F	Spanish	s2	fobia	closed	108	2.0322	631	2.8002	1064	3.0271	3048	3.4841	0.2269	0.4570	0.7680	G2	321.7	171.8
rec_s2_F_P06_oO45	P06	F	Spanish	s2	destroza	closed	112	2.0487	585	2.7675	1328	3.1231	3221	3.5080	0.3556	0.3849	0.7188	G2	296.5	277.0
rec_s2_F_P06_oO49	P06	F	Spanish	s2	pelota	closed	105	2.0208	616	2.7893	1465	3.1659	3173	3.5014	0.3766	0.3355	0.7684	G2	317.2	300.9
rec_s2_F_P06_oO54	P06	F	Spanish	s2	botas	closed	207	2.3162	625	2.7961	1098	3.0407	3468	3.5400	0.2446	0.4994	0.4799	G2	241.8	186.1
rec_s2_F_P06_oO58	P06	F	Spanish	s2	sopa	closed	103	2.0149	585	2.7670	1152	3.0614	3213	3.5069	0.2944	0.4454	0.7521	G2	304.0	222.8
rec_s2_F_P06_oO63	P06	F	Spanish	s2	capota	closed	202	2.3062	572	2.7575	1059	3.0249	3304	3.5191	0.2675	0.4941	0.4512	G2	220.1	198.3
rec_s2_F_P06_oO70	P06	F	Spanish	s2	cosa	closed	126	2.1019	689	2.8384	1213	3.0839	3039	3.4827	0.2455	0.3988	0.7365	G2	333.2	194.0
rec_s2_F_P06_oO72	P06	F	Spanish	s2	sola	closed	204	2.3098	615	2.7890	1283	3.1082	3038	3.4826	0.3192	0.3744	0.4792	G2	239.3	249.3
rec_s2_F_P06_oO73	P06	F	Spanish	s2	sopa	closed	207	2.3160	573	2.7583	1182	3.0725	3200	3.5052	0.3142	0.4327	0.4423	G2	216.9	238.3
rec_s2_F_P06_oO76	P06	F	Spanish	s2	pelota	closed	200	2.3015	593	2.7729	1315	3.1190	2842	3.4537	0.3461	0.3347	0.4714	G2	231.7	269.3
rec_s2_F_P06_oO77	P06	F	Spanish	s2	coma	closed	98	1.9923	520	2.7162	972	2.9879	3045	3.4836	0.2717	0.4957	0.7239	G2	275.8	193.8
rec_s2_F_P06_oO8	P06	F	Spanish	s2	toma	closed	96	1.9842	566	2.7531	1191	3.0759	1265	3.1021	0.3228	0.0262	0.7689	G2	300.7	244.6
rec_s2_F_P06_oO80	P06	F	Spanish	s2	copa	closed	202	2.3053	597	2.7757	995	2.9978	3147	3.4979	0.2221	0.5002	0.4704	G2	232.2	163.8
rec_s2_F_P06_oO85	P06	F	Spanish	s2	capota	closed	210	2.3216	634	2.8018	1093	3.0385	3293	3.5177	0.2367	0.4792	0.4802	G2	243.8	180.2
rec_s2_F_P06_oO87	P06	F	Spanish	s2	pelota	closed	196	2.2916	582	2.7647	1305	3.1155	1506	3.1779	0.3508	0.0624	0.4731	G2	229.4	271.6
rec_s2_F_P06_oO89	P06	F	Spanish	s2	cosa	closed	106	2.0248	608	2.7839	1175	3.0700	2920	3.4655	0.2861	0.3955	0.7591	G2	312.6	219.2
rec_s2_F_P06_oO9	P06	F	Spanish	s2	toma	closed	201	2.3025	598	2.7770	1318	3.1201	3156	3.4991	0.3431	0.3790	0.4745	G2	233.4	267.8
rec_s2_F_P07_oO100	P07	F	Spanish	s2	toma	closed	171	2.2342	582	2.7649	1145	3.0588	2992	3.4759	0.2939	0.4171	0.5307	G2	248.1	222.0
rec_s2_F_P07_oO102	P07	F	Spanish	s2	nota	closed	162	2.2086	592	2.7720	1044	3.0188	1692	3.2285	0.2468	0.2097	0.5633	G2	259.9	183.4
rec_s2_F_P07_oO105	P07	F	Spanish	s2	nota	closed	170	2.2307	557	2.7460	995	2.9977	1877	3.2736	0.2517	0.2759	0.5153	G2	236.6	183.4
rec_s2_F_P07_oO110	P07	F	Spanish	s2	botas	closed	164	2.2145	541	2.7332	1117	3.0482	3124	3.4947	0.3150	0.4465	0.5187	G2	233.2	233.2
rec_s2_F_P07_oO112	P07	F	Spanish	s2	pelota	closed	167	2.2215	662	2.8211	1357	3.1327	3105	3.4921	0.3116	0.3594	0.5996	G2	288.7	249.3
rec_s2_F_P07_oO124	P07	F	Spanish	s2	fobia	closed	172	2.2354	544	2.7356	991	2.9959	3264	3.5138	0.2602	0.5179	0.5002	G2	228.6	188.4
rec_s2_F_P07_oO127	P07	F	Spanish	s2	pomo	closed	165	2.2162	527	2.7221	1010	3.0042	3570	3.5527	0.2821	0.5485	0.5058	G2	225.3	203.8
rec_s2_F_P07_oO13	P07	F	Spanish	s2	sopa	closed	168	2.2253	531	2.7248	1038	3.0160	2987	3.4752	0.2911	0.4592	0.4996	G2	225.0	211.5
rec_s2_F_P07_oO131	P07	F	Spanish	s2	cosa	closed	170	2.2294	540	2.7322	1137	3.0558	3017	3.4796	0.3236	0.4237	0.5028	G2	228.1	240.2
rec_s2_F_P07_oO136	P07	F	Spanish	s2	destroza	closed	182	2.2599	650	2.8132	1397	3.1452	3096	3.4908	0.3320	0.3456	0.5532	G2	271.9	266.2
rec_s2_F_P07_oO14	P07	F	Spanish	s2	cosa	closed	163	2.2119	517	2.7133	1005	3.0023	2977	3.4738	0.2890	0.4716	0.5014	G2	221.7	207.1
rec_s2_F_P07_oO142	P07	F	Spanish	s2	toma	closed	174	2.2396	562	2.7497	1031	3.0131	3375	3.5283	0.2634	0.5152	0.5100	G2	236.0	193.5
rec_s2_F_P07_oO144	P07	F	Spanish	s2	capota	closed	86	1.9330	582	2.7646	1177	3.0709	3152	3.4986	0.3062	0.4278	0.8316	G2	317.1	232.3
rec_s2_F_P07_oO146	P07	F	Spanish	s2	destroza	closed	176	2.2465	656	2.8168	1382	3.1405	3204	3.5057	0.3237	0.3652	0.5703	G2	279.1	259.2
rec_s2_F_P07_oO19	P07	F	Spanish	s2	toma	closed	171	2.2327	638	2.8050	1161	3.0649	3356	3.5258	0.2599	0.4609	0.5723	G2	274.7	200.6
rec_s2_F_P07_oO27	P07	F	Spanish	s2	sola	closed	161	2.2059	614	2.7882	1296	3.1125	3190	3.5039	0.3243	0.3913	0.5823	G2	271.1	253.6
rec_s2_F_P07_oO33	P07	F	Spanish	s2	botas	closed	166	2.2192	555	2.7440	994	2.9974	2383	3.3771	0.2534	0.3797	0.5248	G2	238.7	184.0
rec_s2_F_P07_oO38	P07	F	Spanish	s2	coma	closed	86	1.9324	589	2.7701	1042	3.0180	3055	3.4850	0.2479	0.4670	0.8377	G2	320.5	184.2
rec_s2_F_P07_oO4	P07	F	Spanish	s2	pelota	closed	151	2.1779	627	2.7972	1333	3.1247	3058	3.4854	0.3275	0.3607	0.6194	G2	285.0	258.4
rec_s2_F_P07_oO44	P07	F	Spanish	s2	capota	closed	170	2.2317	538	2.7304	1092	3.0383	3280	3.5159	0.3079	0.4776	0.4988	G2	227.1	226.4
rec_s2_F_P07_oO49	P07	F	Spanish	s2	capota	closed	171	2.2329	559	2.7476	1112	3.0461	3211	3.5066	0.2985	0.4604	0.5147	G2	236.8	222.5
rec_s2_F_P07_oO51	P07	F	Spanish	s2	copa	closed	169	2.2288	557	2.7458	987	2.9944	3106	3.4922	0.2486	0.4979	0.5170	G2	237.4	180.5
rec_s2_F_P07_oO53	P07	F	Spanish	s2	nota	closed	168	2.2257	627	2.7972	1075	3.0316	1914	3.2820	0.2344	0.2505	0.5715	G2	271.8	177.4
rec_s2_F_P07_oO56	P07	F	Spanish	s2	pomo	closed	170	2.2316	539	2.7315	991	2.9961	3229	3.5091	0.2646	0.5130	0.5000	G2	227.6	190.9
rec_s2_F_P07_oO58	P07	F	Spanish	s2	fobia	closed	178	2.2503	608	2.7839	1034	3.0143	3102	3.4916	0.2304	0.4773	0.5336	G2	255.3	172.3
rec_s2_F_P07_oO61	P07	F	Spanish	s2	sola	closed	165	2.2167	622	2.7938	1486	3.1720	3106	3.4922	0.3782	0.3202	0.5771	G2	271.8	303.8
rec_s2_F_P07_oO63	P07	F	Spanish	s2	fobia	closed	88	1.9450	584	2.7666	1066	3.0277	3134	3.4962	0.2611	0.4685	0.8217	G2	316.3	194.8
rec_s2_F_P07_oO64	P07	F	Spanish	s2	copa	closed	168	2.2265	561	2.7493	976	2.9894	3101	3.4914	0.2401	0.5020	0.5229	G2	240.1	174.6
rec_s2_F_P07_oO71	P07	F	Spanish	s2	cosa	closed	175	2.2419	564	2.7513	1204	3.0808	3015	3.4792	0.3295	0.3984	0.5094	G2	236.2	249.7
rec_s2_F_P07_oO72	P07	F	Spanish	s2	pelota	closed	173	2.2383	646	2.8101	1292	3.1114	3092	3.4903	0.3013	0.3789	0.5719	G2	276.8	237.5
rec_s2_F_P07_oO77	P07	F	Spanish	s2	destroza	closed	178	2.2508	617	2.7902	1488	3.1726	3210	3.5065	0.3824	0.3339	0.5393	G2	259.5	306.6
rec_s2_F_P07_oO79	P07	F	Spanish	s2	botas	closed	168	2.2254	509	2.7064	1024	3.0105	3283	3.5163	0.3041	0.5058	0.4810	G2	213.7	218.0
rec_s2_F_P07_oO82	P07	F	Spanish	s2	pomo	closed	169	2.2286	521	2.7169	989	2.9953	3334	3.5230	0.2784	0.5277	0.4883	G2	219.2	199.4
rec_s2_F_P07_oO88	P07	F	Spanish	s2	sopa	closed	164	2.2155	487	2.6878	1012	3.0051	3328	3.5221	0.3173	0.5170	0.4724	G2	205.3	225.3
rec_s2_F_P07_oO90	P07	F	Spanish	s2	coma	closed	163	2.2122	555	2.7445	977	2.9899	3246	3.5114	0.2453	0.5215	0.5323	G2	241.0	177.9
rec_s2_F_P07_oO91	P07	F	Spanish	s2	sopa	closed	165	2.2167	577	2.7615	1215	3.0846	3302	3.5188	0.3231	0.4342	0.5448	G2	250.3	246.7
rec_s2_F_P07_oO92	P07	F	Spanish	s2	sola	closed	159	2.2016	663	2.8216	1388	3.1423	3027	3.4810	0.3207	0.3387	0.6200	G2	295.3	257.7
rec_s2_F_P07_oO93	P07	F	Spanish	s2	coma	closed	164	2.2135	539	2.7314	949	2.9771	3255	3.5125	0.2457	0.5354	0.5178	G2	232.2	175.7
rec_s2_F_P07_oO94	P07	F	Spanish	s2	copa	closed	169	2.2269	564	2.7513	994	2.9976	3020	3.4801	0.2463	0.4825	0.5244	G2	240.8	179.5
rec_s2_F_P08_oO1	P08	F	Spanish	s2	capota	closed	202	2.3051	524	2.7197	916	2.9618	3117	3.4937	0.2421	0.5319	0.4146	G2	196.0	171.1
rec_s2_F_P08_oO10	P08	F	Spanish	s2	sopa	closed	203	2.3079	573	2.7585	982	2.9920	2955	3.4706	0.2336	0.4786	0.4505	G2	219.8	170.8
